a	a:
sérsveit	s j E r_0 s v ei t
sért	s j E r_0 t
séríslenskur	s j E: r i s t l E n s k Y r
sérð	s j E r D
sérðu	s j E r D Y
sérþekkingu	s j E r_0 T E h c i N k Y
sést	s j E s t
séu	s j E: Y
séum	s j E: Y m
séð	s j E: D
sí	s i:
sífellt	s i: f E l_0 t
sífellu	s i: f E t l Y
síga	s i: G a
sígarettustubbum	s i: k a r E h t Y s t Y p Y m
síld	s i l t
síldarvinnslunnar	s i l t a r v I n s t l Y n a r
síldin	s i l t I n
síle	s i: l E
síma	s i: m a
símann	s i: m a n
símans	s i: m a n s
símanum	s i: m a n Y m
símanúmer	s i: m a n u m E r
símasamband	s i: m a s a m p a n t
símaskránni	s i: m a s k r au n I
símavakt	s i: m a v a x t
sími	s i: m I
síminn	s i: m I n
símleiðis	s i m l ei D I s
símon	s i: m O n
símtal	s i m t_h a l
símtali	s i m t_h a l I
símtalið	s i: m t_h a l I D
símtólinu	s i m t_h ou l I n Y
símtöl	s i m t_h 9 l
símtölum	s i m t_h 9 l Y m
sín	s i: n
sína	s i: n a
sínar	s i: n a r
sínir	s i: n I r
síns	s i n s
sínu	s i: n Y
sínum	s i: n Y m
sínus	s i: n Y s
síra	s i: r a
síróp	s i: r ou p
sís	s i: s
síst	s i s t
sítrón	s i: t r ou n
sívaxandi	s i: v a k s a n t I
sívertsen	s i: v E r_0 t s E n
síða	s i: D a
síðan	s i: D a n
síðar	s i: D a r
síðara	s i: D a r a
síðari	s i: D a r I
síðarnefnda	s i: D a r n E m t a
síðarnefndi	s i: D a r n E m t I
síðarnefndu	s i: D a r n E m t Y
síðast	s i: D a s t
síðasta	s i: D a s t a
síðasti	s i: D a s t I
síðastliðin	s i: D a s t l I D I n
síðastliðins	s i: D a s t l I D I n s
síðastliðið	s i: D a s t l I D I D
síðastliðna	s i: D a s t l I D n a
síðastliðnu	s i: D a s t l I D n Y
síðastliðnum	s i: D a s t l I D n Y m
síðastnefnda	s i: D a s t n E m t a
síðastnefndu	s i: D a s t n E m t Y
síðastur	s i: D a s t Y r
síðdegi	s i D t ei j I
síðdegis	s i D t ei j I s
síðir	s i: D I r
síðkastið	s i D k_h a s t I D
síðla	s i D l a
síðri	s i D r I
síðu	s i: D Y
síðum	s i: D Y m
síðuna	s i: D Y n a
síðunnar	s i: D Y n a r
síðunni	s i: D Y n I
síður	s i: D Y r
síðustu	s i: D Y s t Y
sófa	s ou: f a
sófanum	s ou: f a n Y m
sófi	s ou: f I
sókn	s ou h k n
sóknar	s ou h k n a r
sóknaraðila	s ou h k n a r a D I l a
sóknaraðilar	s ou h k n a r a D I l a r
sóknaraðili	s ou h k n a r a D I l I
sóknarfæri	s ou h k n a r_0 f ai r I
sóknarlega	s ou h k n a r l E G a
sóknarleik	s ou h k n a r l ei k
sóknarleiknum	s ou h k n a r l ei h k n Y m
sóknarleikur	s ou h k n a r l ei k Y r
sóknarleikurinn	s ou h k n a r l ei k Y r I n
sóknarmanninn	s ou h k n a r m a n I n
sóknarmaður	s ou h k n a r m a D Y r
sóknarmaðurinn	s ou h k n a r m a D Y r I n
sóknarmenn	s ou h k n a r m E n
sóknarnefnd	s ou h k n a r n E m t
sóknarnefndar	s ou h k n a r n E m t a r
sóknarprests	s ou h k n a r_0 p r E s t s
sóknarprestur	s ou h k n a r_0 p_h r E s t Y r
sóknarpresturinn	s ou h k n a r_0 p_h r E s t Y r I n
sóknin	s ou h k n I n
sókninni	s ou h k n I n I
sóknir	s ou h k n I r
sókrates	s ou: k r a t_h E s
sól	s ou: l
sólar	s ou: l a r
sólarhring	s ou: l a r_0 i N k
sólarhringa	s ou: l a r_0 i N k a
sólarhringinn	s ou: l a r_0 i J c I n
sólarhringsins	s ou: l a r_0 i N s I n s
sólarlag	s ou: l a r t l a x
sólarljós	s ou: l a r l j ou s
sólbað	s ou l p a D
sólbergsson	s ou l p E r k s O n
sólbrúnn	s ou l p r u t n_0
sóley	s ou: l ei
sólheima	s ou l h ei m a
sólheimum	s ou l h ei m Y m
sólin	s ou: l I n
sólina	s ou: l I n a
sólinni	s ou: l I n I
sólon	s ou: l O n
sólrún	s ou l r u n
sólrúnar	s ou l r u n a r
sólrúnu	s ou l r u n Y
sólsetur	s ou l s E t Y r
sólskin	s ou l s c I n
sólu	s ou: l Y
sólvangi	s ou l v au J c I
sólveig	s ou l v ei G
sólveigar	s ou l v ei G a r
sólveigu	s ou l v ei G Y
sóma	s ou: m a
sómalíu	s ou: m a l i j Y
sómi	s ou: m I
sópa	s ou: p a
sópransöngkona	s ou: p_h r a n s 9i n k O n a
sóst	s ou s t
sósu	s ou: s Y
sósíalista	s ou: s j a l I s t a
sót	s ou: t
sótt	s ou h t
sótti	s ou h t I
sóttir	s ou h t I r
sóttist	s ou h t I s t
sóttu	s ou h t Y
sóttur	s ou h t Y r
sóun	s ou: Y n
söfn	s 9 p n_0
söfnum	s 9 p n Y m
söfnun	s 9 p n Y n
söfnuðu	s 9 p n Y D Y
söfnuðust	s 9 p n Y D Y s t
sög	s 9: G
sögn	s 9 k n_0
sögu	s 9: G Y
söguhetjan	s 9: G Y h E t j a n
söguleg	s 9: G Y l E G
sögulega	s 9: G Y l E G a
sögulegt	s 9: G Y l E x t
sögulegu	s 9: G Y l E G Y
sögulegum	s 9: G Y l E G Y m
sögum	s 9: G Y m
sögumaður	s 9: G Y m a D Y r
söguna	s 9: G Y n a
sögunnar	s 9: G Y n a r
sögunni	s 9: G Y n I
sögur	s 9: G Y r
sögurnar	s 9: G Y r t n a r
sögusagnir	s 9: G Y s a k n I r
sögð	s 9 G D
sögðu	s 9 G D Y
sögðum	s 9 G D Y m
sögðust	s 9 G D Y s t
sök	s 9: k
sökk	s 9 h k
sökkt	s 9 x t
sökkti	s 9 x t I
sökktu	s 9 x t Y
sökkull	s 9 h k Y t l_0
sökkva	s 9 h k v a
söknum	s 9 h k n Y m
söknuði	s 9 h k n Y D I
söknuður	s 9 h k n Y D Y r
söknuðurinn	s 9 h k n Y D Y r I n
sökum	s 9: k Y m
sökuð	s 9: k Y D
söl	s 9: l
sölu	s 9: l Y
söluferli	s 9: l Y f E r t l I
sölum	s 9: l Y m
söluna	s 9: l Y n a
sölunnar	s 9: l Y n a r
sölunni	s 9: l Y n I
sölustjóri	s 9: l Y s t j ou r I
söluverð	s 9: l Y v E r D
sölva	s 9 l v a
sölvi	s 9 l v I
sömdu	s 9 m t Y
sömu	s 9: m Y
sömuleiðis	s 9: m Y l ei D I s
sönderjyske	s 9 n t E r j I s c E
söng	s 9i N k
sönginn	s 9i J c I n
söngkona	s 9i N k_h O n a
söngkonan	s 9i N k_h O n a n
söngkonunnar	s 9i N k_h O n Y n a r
söngkonur	s 9i N k_h O n Y r
sönglandi	s 9i N l a n t I
sönglar	s 9i N l a r
sönglög	s 9i N k l 9 G
sönglögum	s 9i N k l 9 G Y m
söngnum	s 9i N n Y m
söngnám	s 9i N k n au m
söngskólanum	s 9i N s k ou l a n Y m
söngstjóri	s 9i N k s t j ou r I
söngur	s 9i N k Y r
söngurinn	s 9i N k Y r I n
söngvakeppni	s 9i N k v a c_h E h p n I
söngvakeppnin	s 9i N k v a c_h E h p n I n
söngvara	s 9i N k v a r a
söngvarar	s 9i N k v a r a r
söngvari	s 9i N k v a r I
sönn	s 9 n
sönnu	s 9 n Y
sönnun	s 9 n Y n
sönnunar	s 9 n Y n a r
sönnunarbyrði	s 9 n Y n a r_0 p I r D I
sönnunarfærslu	s 9 n Y n a f ai r_0 s t l Y
sönnunargildi	s 9 n Y n a r c I l t I
sönnunargögn	s 9 n Y n a r_0 k 9 k n_0
sönnur	s 9 n Y r
sönnuð	s 9 n Y D
sörli	s 9 r t l I
söru	s 9: r Y
súdan	s u: t a n
súkkulaði	s u h k Y l a D I
súld	s u l t
súpa	s u: p a
súpu	s u: p Y
súr	s u: r
súra	s u: r a
súrefni	s u r E p n I
súrkál	s u r_0 k au l
súrmjólk	s u r m j ou l_0 k
súrt	s u r_0 t
súðavík	s u: D a v i k
sýking	s i: c i N k
sýkingar	s i: c i N k a r
sýkingu	s i: c i N k Y
sýkn	s i h k n
sýkna	s i h k n a
sýknað	s i h k n a D
sýknaði	s i h k n a D I
sýknaðir	s i h k n a D I r
sýknaður	s i h k n a D Y r
sýknu	s i h k n Y
sýknukröfu	s i h k n Y k_h r 9 v Y
sýknuð	s i h k n Y D
sýn	s i: n
sýna	s i: n a
sýnandi	s i: n a n t I
sýnd	s i n t
sýndar	s i n t a r
sýndi	s i n t I
sýndir	s i n t I r
sýndist	s i n t I s t
sýndu	s i n t Y
sýndum	s i n t Y m
sýndur	s i n t Y r
sýni	s i: n I
sýnileg	s i: n I l E G
sýnilega	s i: n I l E G a
sýnilegt	s i: n I l E x t
sýning	s i: n i N k
sýninga	s i: n i N k a
sýningar	s i: n i N k a r
sýningarinnar	s i: n i N k a r I n a r
sýningarnar	s i: n i N k a r t n a r
sýningin	s i: n i J c I n
sýningu	s i: n i N k Y
sýningum	s i: n i N k Y m
sýninguna	s i: n i N k Y n a
sýningunni	s i: n i N k Y n I
sýnir	s i: n I r
sýnis	s i: n I s
sýnishorn	s i: n I s h O r t n_0
sýnist	s i: n I s t
sýnt	s i n_0 t
sýnum	s i: n Y m
sýrland	s i r l a n t
sýrlandi	s i r l a n t I
sýrlands	s i r l a n t s
sýrlenska	s i r l E n s k a
sýslumanni	s i s t l Y m a n I
sýslumanninum	s i s t l Y m a n I n Y m
sýslumanns	s i s t l Y m a n s
sýslumannsins	s i s t l Y m a n s I n s
sýslumaður	s i s t l Y m a D Y r
sýslumaðurinn	s i s t l Y m a D Y r I n
t	t_h j E:
table	t_h ei: p u l
tabú	t_h a: p u
taco	t_h a k ou
tafa	t_h a: v a
tafar	t_h a: v a r
tafarlaust	t_h a: v a r l 9i s t
tafir	t_h a: v I r
tafist	t_h a: v I s t
tafið	t_h a: v I D
tafla	t_h a p l a
taflanna	t_h a p l a n a
tafli	t_h a p l I
taflið	t_h a p l I D
tag	t_h a k
tagl	t_h a k l
tak	t_h a: k
taka	t_h a: k a
takast	t_h a: k a s t
take	t_h ei: k
taki	t_h a: c I
takist	t_h a: c I s t
takið	t_h a: c I D
takk	t_h a h k
takkarnir	t_h a h k a r t n I r
takmarka	t_h a: k m a r_0 k a
takmarkanir	t_h a k m a r_0 k a n I r
takmarkar	t_h a k m a r_0 k a r
takmarkast	t_h a k m a r_0 k a s t
takmarkað	t_h a: k m a r_0 k a D
takmarkaða	t_h a k m a r_0 k a D a
takmarkaðan	t_h a: k m a r_0 k a D a n
takmarkaðar	t_h a k m a r_0 k a D a r
takmarkaður	t_h a: k m a r_0 k a D Y r
takmarki	t_h a: k m a r_0 c I
takmörk	t_h a k m 9 r_0 k
takmörkun	t_h a k m 9 r_0 k Y n
takmörkunum	t_h a: k m 9 r_0 k Y n Y m
takmörkuð	t_h a k m 9 r_0 k Y D
takmörkuðu	t_h a k m 9 r_0 k Y D Y
takmörkuðum	t_h a: k m 9 r_0 k Y D Y m
taks	t_h a k s
takt	t_h a x t
takta	t_h a x t a
takti	t_h a x t I
taktu	t_h a x t Y
tal	t_h a: l
tala	t_h a: l a
talan	t_h a: l a n
talandi	t_h a: l a n t I
talar	t_h a: l a r
talarðu	t_h a: l a r D Y
talað	t_h a: l a D
talaði	t_h a: l a D I
taldar	t_h a l t a r
taldi	t_h a l t I
taldir	t_h a l t I r
tale	t_h ei: l
talent	t_h a: l E n_0 t
tales	t_h ei: l s
tali	t_h a: l I
talibana	t_h a: l I p a n a
talibanar	t_h a: l I p a n a r
talin	t_h a: l I n
talinn	t_h a: l I n
talist	t_h a: l I s t
talið	t_h a: l I D
talk	t_h O: k
talking	t_h O: c i N
talks	t_h O: k s
talningu	t_h a l n i N k Y
tals	t_h a l s
talsins	t_h a l s I n s
talskona	t_h a l s k_h O n a
talsmanni	t_h a l s m a n I
talsmanns	t_h a l s m a n s
talsmaður	t_h a l s m a D Y r
talsmenn	t_h a l s m E n
talsvert	t_h a l s v E r_0 t
talsverð	t_h a l s v E r D
talsverða	t_h a l s v E r D a
talsverðan	t_h a l s v E r D a n
talsverðar	t_h a l s v E r D a r
talsverðri	t_h a l s v E r D r I
talsverðu	t_h a l s v E r D Y
talsverðum	t_h a l s v E r D Y m
talsverður	t_h a l s v E r D Y r
tandurhreint	t_h a n t Y r_0 ei n_0 t
tangi	t_h au J c I
tango	t_h a N k ou
tank	t_h ei N_0 k
tanka	t_h au N_0 k a
tanki	t_h au J_0 c I
tankinum	t_h au J_0 c I n Y m
tanks	t_h au N_0 k s
tankur	t_h au N_0 k Y r
tankurinn	t_h au N_0 k Y r I n
tannkrem	t_h a n k_h r E m
tannstöngla	t_h a n s t 9i N l a
tanta	t_h a n_0 t a
tap	t_h a: p
tapa	t_h a: p a
tapar	t_h a: p a r
tapas	t_h a p a s
tapast	t_h a: p a s t
tapað	t_h a: p a D
tapaði	t_h a: p a D I
tapaðist	t_h a: p a D I s t
tape	t_h ei: p
tapi	t_h a: p I
tapinu	t_h a: p I n Y
tapist	t_h a: p I s t
taprekstur	t_h a: p r E k s t Y r
taps	t_h a: p s
tara	t_h a: r a
target	t_h a r k E t
task	t_h a s k
taska	t_h a s k a
taste	t_h ei: s t
tata	t_h a t a
tattoo	t_h a h t u:
tattú	t_h a h t u
taug	t_h 9i: G
taugafræði	t_h 9i: G a f r ai D I
taugakerfi	t_h 9i: G a c_h E r v I
taugar	t_h 9i: G a r
taugarnar	t_h 9i: G a r t n a r
taugasérfræðinginn	t_h 9i: G a s j E r_0 f r ai D i J c I n
taugungamótum	t_h 9i: G u N k a m ou t Y m
tauið	t_h 9i: I D
taumana	t_h 9i: m a n a
taumhald	t_h 9i: m h a l t
tauminn	t_h 9i: m I n
taumur	t_h 9i: m Y r
taumurinn	t_h 9i: m Y r I n
tauta	t_h 9i: t a
tautaði	t_h 9i: t a D I
tax	t_h a k s
taxi	t_h a k s i
taylor	t_h ei l O r
taílandi	t_h ai: l a n t I
taívan	t_h ai: v a n
te	t_h E:
tea	t_h i:
team	t_h i: m
teams	t_h i: m s
tears	t_h i: r s
tebollanum	t_h E: p O t l a n Y m
tech	t_h E h k
technical	t_h E k n I k_h a l
ted	t_h E t
teen	t_h i: n
tefja	t_h E v j a
tefla	t_h E p l a
tefld	t_h E l t
tefldar	t_h E l t a r
tefldi	t_h E l t I
tefldist	t_h E l t I s t
tefldu	t_h E l t Y
teflir	t_h E p l I r
teflt	t_h E l_0 t
tegund	t_h E: G Y n t
tegunda	t_h E: G Y n t a
tegundar	t_h E: G Y n t a r
tegundir	t_h E: G Y n t I r
teheran	t_h E h E r a n
teig	t_h ei: G
teiginn	t_h ei j I n
teignum	t_h ei k n Y m
teigs	t_h ei x s
teikn	t_h ei h k n_0
teikna	t_h ei h k n a
teiknaði	t_h ei h k n a D I
teiknimynd	t_h ei h k n I m I n t
teiknimyndaflokkur	t_h ei h k n I m I n t a f l O h k Y r
teikning	t_h ei h k n i N k
teikningar	t_h ei h k n i N k a r
teikningu	t_h ei h k n i N k Y
teikningum	t_h ei h k n i N k Y m
teinrétt	t_h ei n r j E h t
teitur	t_h ei: t Y r
tek	t_h E: k
tekin	t_h E: c I n
tekinn	t_h E: c I n
tekist	t_h E: c I s t
tekið	t_h E: c I D
tekju	t_h E: c Y
tekjum	t_h E: c Y m
tekjur	t_h E: c Y r
tekjurnar	t_h E: c Y r t n a r
tekjuskatt	t_h E c Y s k a h t
tekjuskatti	t_h E: c Y s k a h t I
tekjuskatts	t_h E: c Y s k a h t s
tekjuskattur	t_h E: c Y s k a h t Y r
tekjustofn	t_h E: c Y s t O p n_0
tekjustofna	t_h E: c Y s t O p n a
tekjutap	t_h E: c Y t_h a p
tekjuöflun	t_h E: c Y 9 p l Y n
tekna	t_h E h k n a
teknar	t_h E h k n a r
teknir	t_h E h k n I r
teknu	t_h E h k n Y
tekst	t_h E k s t
tekur	t_h E: k Y r
tel	t_h E: l
teldi	t_h E l t I
teldist	t_h E l t I s t
teldu	t_h E l t Y
telegraph	t_h E: l E k r a f
television	t_h E l E v I s j O n
telja	t_h E l j a
teljandi	t_h E l j a n t I
teljast	t_h E l j a s t
telji	t_h E l j I
teljist	t_h E l j I s t
teljum	t_h E l j Y m
tell	t_h E l
tells	t_h E l s
telma	t_h E l m a
telpa	t_h E l_0 p a
telpuna	t_h E l_0 p Y n a
telst	t_h E l s t
telur	t_h E: l Y r
temja	t_h E m j a
temperature	t_h E m_0 p E r a t_h j 9: r
temperatures	t_h E m_0 p E r a t_h j 9: r s
temple	t_h E m_0 p u l
ten	t_h E n
tenerife	t_h E: n E r I f E
tengd	t_h ei N t
tengda	t_h ei N t a
tengdabörn	t_h ei N t a p 9 r t n_0
tengdabörnum	t_h ei N t a p 9 r t n Y m
tengdadóttir	t_h ei N t a t ou h t I r
tengdadóttur	t_h ei N t a t ou h t Y r
tengdafaðir	t_h ei N t a f a D I r
tengdaforeldra	t_h ei N t a f O r E l t r a
tengdaforeldrar	t_h ei N t a f O r E l t r a r
tengdaforeldrum	t_h ei N t a f O r E l t r Y m
tengdaföður	t_h ei N t a f 9 D Y r
tengdamamma	t_h ei N t a m a m a
tengdamóðir	t_h ei N t a m ou D I r
tengdamóður	t_h ei N t a m ou D Y r
tengdamömmu	t_h ei N t a m 9 m Y
tengdapabbi	t_h ei N t a p_h a p I
tengdar	t_h ei N t a r
tengdason	t_h ei N t a s O n
tengdasonar	t_h ei N t a s O n a r
tengdasonur	t_h ei N t a s O n Y r
tengdasyni	t_h ei N t a s I n I
tengdi	t_h ei N t I
tengdir	t_h ei N t I r
tengdist	t_h ei N t I s t
tengdra	t_h ei N t r a
tengdri	t_h ei N t r I
tengdu	t_h ei N t Y
tengdum	t_h ei N t Y m
tengdumst	t_h ei N t Y m s t
tengdur	t_h ei N t Y r
tengdust	t_h ei N t Y s t
tengill	t_h ei J c I t l_0
tenging	t_h ei n c i N k
tengingar	t_h ei N c i N k a r
tengingu	t_h ei J c i N k Y
tengist	t_h ei J c I s t
tengja	t_h ei J c a
tengjast	t_h ei J c a s t
tenglar	t_h ei N l a r
tengsl	t_h ei N s t l_0
tengsla	t_h ei N s t l a
tengslafund	t_h ei N s t l a f Y n t
tengslin	t_h ei N s t l I n
tengslum	t_h ei N s t l Y m
tengst	t_h ei N s t
tengt	t_h ei N_0 t
teningnum	t_h E: n i N n Y m
teningur	t_h E: n i N k Y r
tennessee	t_h E n E s i
tennis	t_h E n I s
tennisknattleik	t_h E n I s k_h n a h t l ei k
tennur	t_h E n Y r
tennurnar	t_h E n Y r t n a r
teppa	t_h E h p a
teppagerð	t_h E h p a c E r D
teppi	t_h E h p I
teppinu	t_h E h p I n Y
teppum	t_h E h p Y m
term	t_h 9 r m
terminal	t_h 9 r m I n a l
terms	t_h 9 r m s
terrible	t_h E: r I p u l
terrorist	t_h E r O r I s t
terry	t_h E r i
teskeið	t_h E s c ei D
tesla	t_h E s l a
test	t_h E s t
tetra	t_h E: t r a
texas	t_h E k s a s
text	t_h E k s t
texta	t_h E k s t a
textaheftið	t_h E k s t a h E f t I D
textalýsingu	t_h E k s t a l i s i N k Y
textameðferð	t_h E k s t a m E D f E r D
textana	t_h E k s t a n a
textann	t_h E k s t a n
textanum	t_h E k s t a n Y m
textar	t_h E k s t a r
textarnir	t_h E k s t a r t n I r
textaskrár	t_h E k s t a s k r au r
textauppbyggingu	t_h E k s t a Y h p I c i N k Y
textavarpi	t_h E k s t a v a r_0 p I
textavarps	t_h E k s t a v a r_0 p s
texti	t_h E k s t I
textinn	t_h E k s t I n
textum	t_h E k s t Y m
teygaði	t_h ei: G a D I
teygir	t_h ei: j I r
teygist	t_h ei: j I s t
teygja	t_h ei j a
teygjanlegur	t_h ei: j a n l E G Y r
teygjur	t_h ei j Y r
teygða	t_h ei G D a
teymi	t_h ei: m I
thai	t_h ai:
than	D E n
thank	T ei N k
thanks	T ei N k s
that	D a t
that's	D E t s
thatcher	T a t s j E r
theater	T i: E t_h E r
theft	T E f t
their	D E r
thelma	t_h E l m a
them	D E m
then	D E n
theo	T i: j ou
theodór	t_h E: O t ou r
theory	T i O r i
therapy	T E r a p_h i
there	D E: r
there's	D E: r s
therefore	D E: r E f O r
they	D ei:
they're	D E: r
theódór	t_h E: ou t ou r
thief	T i: f
thierry	t_h i j E r I
thin	T I n
thing	T i N
thinking	T i N k_h i N
third	T 9 r t
thirty	T I r_0 t i
this	D I s
thomas	t_h O m a s
thompson	t_h O m s O n
thomsen	t_h O m s E n
thor	T O: r
thorarensen	t_h ou: r a r E n s E n
thorlacius	t_h O r l a s i Y s
thorn	T O r n
thoroddsen	t_h ou: r O t s E n
thors	T ou r_0 s
thorsteinsson	t_h O r_0 s t ei n s O n
those	D ou: s
though	D ou:
thought	T O: t
thoughts	T O: t s
thousand	T au s a n t
thousands	T au s a n t s
thread	T r E: t
threat	T r E t
three	T r i:
through	T r u:
thug	T 9 k
thunberg	t_h Y n p E r k
thursday	T u r_0 s t ei
ti	t_h i
ticket	t_h I h k E t
tickets	t_h I h k E t s
tidende	t_h i: D E n E
tif	t_h I: f
tiger	t_h ai: k E r
tign	t_h I k n_0
tignarleg	t_h I k n a r l E G
til	t_h I: l
tilbaka	t_h I l p a k a
tilbeiðsla	t_h I l p ei D s t l a
tilboð	t_h I l p O D
tilboða	t_h I: l p O D a
tilboði	t_h I l p O D I
tilboðin	t_h I l p O D I n
tilboðinu	t_h I l p O D I n Y
tilboðið	t_h I l p O D I D
tilboðum	t_h I l p O D Y m
tilbreyting	t_h I l p r ei t i N k
tilbrigði	t_h I l p r I G D I
tilbúin	t_h I l p u I n
tilbúinn	t_h I l p u I n
tilbúið	t_h I l p u I D
tilbúna	t_h I l p u n a
tilbúnar	t_h I l p u n a r
tilbúnir	t_h I l p u n I r
tildrög	t_h I l t r 9 G
tilefni	t_h I: l E p n I
tilefnið	t_h I: l E p n I D
tileinka	t_h I: l ei N_0 k a
tileinkað	t_h I: l ei N_0 k a D
tileinkaði	t_h I: l ei N_0 k a D I
tileinkuð	t_h I: l ei N_0 k Y D
tilfella	t_h I l f E t l a
tilfelli	t_h I l f E t l I
tilfellið	t_h I l f E t l I D
tilfellum	t_h I l f E t l Y m
tilfinning	t_h I l f I n i N k
tilfinninga	t_h I l f I n i N k a
tilfinningar	t_h I l f I n i N k a r
tilfinningin	t_h I l f I n i J c I n
tilfinningu	t_h I l f I n i N k Y
tilfinningum	t_h I l f I n i N k Y m
tilfinninguna	t_h I l f I n i N k Y n a
tilfinningunni	t_h I l f I n i N k Y n I
tilfærslu	t_h I l f ai r_0 s t l Y
tilgang	t_h I l k au N k
tilgangi	t_h I l k au J c I
tilgangur	t_h I l k au N k Y r
tilgangurinn	t_h I l k au N k Y r I n
tilgreina	t_h I l k r ei n a
tilgreind	t_h I l k r ei n t
tilgreindar	t_h I l k r ei n t a r
tilgreindir	t_h I l k r ei n t I r
tilgreindum	t_h I l k r ei n t Y m
tilgreindur	t_h I l k r ei n t Y r
tilgreint	t_h I l k r ei n_0 t
tilheyra	t_h I l h ei r a
tilheyrandi	t_h I l h ei r a n t I
tilheyri	t_h I l h ei r I
tilheyrir	t_h I: l h ei r I r
tilheyrði	t_h I l h ei r D I
tilheyrðu	t_h I l h ei r D Y
tilhlökkun	t_h I l_0 9 h k Y n
tilhneiging	t_h I l n_0 ei j i N k
tilhneigingu	t_h I l h n ei j i N k Y
tilhugsun	t_h I l h Y x s Y n
tilhugsunin	t_h I: l h Y k s Y n I n
tilhöggnum	t_h I l h 9 k n Y m
tilhögun	t_h I: l h 9 G Y n
tilkall	t_h I l k_h a t l_0
tilkoma	t_h I l k_h O m a
tilkomin	t_h I l k_h O m I n
tilkomu	t_h I l k_h O m Y
tilkostnaði	t_h I l k_h O s t n a D I
tilkynna	t_h I l c_h I n a
tilkynning	t_h I l c_h I n i N k
tilkynningar	t_h I l c_h I n i N k a r
tilkynningin	t_h I l c_h I n i J c I n
tilkynningu	t_h I l c_h I n i N k Y
tilkynningum	t_h I l c_h I n i N k Y m
tilkynningunni	t_h I l c_h I n i N k Y n I
tilkynnir	t_h I l c_h I n I r
tilkynnist	t_h I l c_h I n I s t
tilkynnt	t_h I l c_h I n_0 t
tilkynnti	t_h I l c_h I n_0 t I
tilkynntu	t_h I l c_h I n_0 t Y
till	t_h I l
tillaga	t_h I l a G a
tillagan	t_h I l a G a n
tillagna	t_h I l a k n a
tillit	t_h I l I t
tilliti	t_h I l I t I
tillits	t_h I l I t s
tillitsleysi	t_h I l I t s t l ei s I
tillitssemi	t_h I l I t s E m I
tillögu	t_h I l 9 G Y
tillögum	t_h I l 9 G Y m
tillöguna	t_h I l 9 G Y n a
tillögunnar	t_h I l 9 G Y n a r
tillögunni	t_h I l 9 G Y n I
tillögunum	t_h I l 9 G O n Y m
tillögur	t_h I l 9 G Y r
tillögurnar	t_h I l 9 G Y r t n a r
tilmæli	t_h I l m ai l I
tilmælum	t_h I l m ai l Y m
tilnefna	t_h I l n E p n a
tilnefnd	t_h I l n E m t
tilnefndar	t_h I l n E m t a r
tilnefndir	t_h I l n E m t I r
tilnefndu	t_h I l n E m t Y
tilnefndur	t_h I l n E m t Y r
tilnefningar	t_h I l n E p n i N k a r
tilnefningu	t_h I l n E p n i N k Y
tilnefnt	t_h I l n E m_0 t
tilraun	t_h I l r 9i n
tilraunastarfsemina	t_h I l r 9i n a s t a r f s E m I n a
tilraunaverkefni	t_h I l r 9i n a v E r_0 k E p n I
tilraunin	t_h I l r 9i n I n
tilrauninni	t_h I l r 9i n I n I
tilraunir	t_h I l r 9i n I r
tilraunirnar	t_h I l r 9i n I r t n a r
tilraunum	t_h I l r 9i n Y m
tilskilin	t_h I l s c I l I n
tilskipanirnar	t_h I l s c I p a n I r t n a r
tilskipun	t_h I l s c I p Y n
tilskipunar	t_h I l s c I p Y n a r
tilskipunarinnar	t_h I l s c I p Y n a r I n a r
tilskipunum	t_h I l s c I p Y n Y m
tilstilli	t_h I l s t I t l I
tilstuðlan	t_h I l s t Y D l a n
tiltak	t_h I l t_h a k
tiltaka	t_h I l t_h a k a
tiltekin	t_h I l t_h E c I n
tiltekinn	t_h I l t_h E c I n
tiltekinna	t_h I l t_h E c I n a
tiltekinni	t_h I l t_h E c I n I
tiltekið	t_h I l t_h E c I D
tiltekna	t_h I l t_h E h k n a
tilteknar	t_h I l t_h E h k n a r
tilteknir	t_h I l t_h E h k n I r
tilteknu	t_h I l t_h E h k n Y
tilteknum	t_h I l t_h E h k n Y m
tiltekt	t_h I l t_h E x t
tiltrú	t_h I l t_h r u
tiltækt	t_h I l t_h ai x t
tiltækum	t_h I l t_h ai k Y m
tiltölulega	t_h I l t_h 9 l Y l E G a
tilurð	t_h I: l Y r D
tilvalið	t_h I l v a l I D
tilveru	t_h I l v E r Y
tilveruna	t_h I l v E r Y n a
tilverunni	t_h I l v E r Y n I
tilvik	t_h I l v I k
tilvika	t_h I l v I k a
tilviki	t_h I l v I c I
tilvikinu	t_h I l v I c I n Y
tilvikum	t_h I l v I k Y m
tilviljun	t_h I l v I l j Y n
tilvist	t_h I l v I s t
tilvitnun	t_h I l v I h t n Y n
tilvonandi	t_h I l v O n a n t I
tilvísun	t_h I l v i s Y n
tilþrif	t_h I l T r I v
tilþrifum	t_h I l T r I v Y m
tim	t_h I m
timberlake	t_h I m p E r l ei k
timburskorti	t_h I m p Y r_0 s k O r_0 t I
time	t_h ai: m
times	t_h ai: m s
tind	t_h I n t
tinda	t_h I n t a
tindastól	t_h I n t a s t ou l
tindastóli	t_h I n t a s t ou l I
tindastóll	t_h I n t a s t ou t l_0
tindastóls	t_h I n t a s t ou l s
tinder	t_h I n t E r
tindrandi	t_h I n t r a n t I
