a	aː
shining	s j aiː n i ŋ
ship	s j ɪ p
shipping	s j ɪ h p i ŋ
ships	s j ɪ p s
shit	s j ɪ t
shock	s j ɔ h k
shoes	s j uː s
shoot	s j uː t
shooting	s j uː t i ŋ
shop	s j ɔ p
shopping	s j ɔ h p i ŋ
shops	s j ɔ p s
short	s j ɔ r̥ t
shot	s j ɔ t
should	s j ʏː t
shouse	s j auː s
show	s j ouː
showed	s j ouː t
showing	s j ouː i ŋ
shown	s j ouː n
shows	s j ouː s
shy	s j aiː
si	s i
sibba	s ɪ p a
sibbi	s ɪ p ɪ
sibbu	s ɪ p ʏ
sick	s ɪ h k
side	s aiː t
sie	s iː
siena	s i j ɛ n a
sierra	s iː j ɛ r a
sif	s ɪː f
sifjalaganefndar	s ɪ v j a l a ɣ a n ɛ m t a r
sig	s ɪː ɣ
sigbjörnsdóttur	s ɪ ɣ p j œ r̥ s t ou h t ʏ r
sigbjörnsson	s ɪ ɣ p j œ r̥ s ɔ n
sigfinnur	s ɪ x f ɪ n ʏ r
sigfús	s ɪ x f u s
sigfúsar	s ɪ x f u s a r
sigfúsdóttir	s ɪ x f u s t ou h t ɪ r
sigfússon	s ɪ x f u s ɔ n
sigfússonar	s ɪ x f u s ɔ n a r
sigfússyni	s ɪ x f u s ɪ n ɪ
sigga	s ɪ k a
siggeirsson	s ɪ ɣ c ei r̥ s ɔ n
siggi	s ɪ c ɪ
siggu	s ɪ k ʏ
sighvatsson	s ɪ ɣ kʰ v a t s ɔ n
sighvatur	s ɪ ɣ kʰ v a t ʏ r
sigið	s iː j ɪ ð
sigla	s ɪ k l a
sigldi	s ɪ l t ɪ
sigldu	s ɪ l t ʏ
sigli	s ɪ k l ɪ
sigling	s ɪ k l i ŋ k
siglinga	s ɪ k l i ŋ k a
siglingar	s ɪ k l i ŋ k a r
siglingastofnun	s ɪ k l i ŋ k a s t ɔ p n ʏ n
siglingastofnunar	s ɪ k l i ŋ k a s t ɔ p n ʏ n a r
siglingu	s ɪ k l i ŋ k ʏ
siglingum	s ɪ ɣ l i ŋ k ʏ m
siglir	s ɪ k l ɪ r
siglt	s ɪ l̥ t
siglufirði	s ɪ k l ʏ f ɪ r ð ɪ
siglufjarðar	s ɪ k l ʏ f j a r ð a r
siglufjörð	s ɪ k l ʏ f j œ r ð
siglufjörður	s ɪ k l ʏ f j œ r ð ʏ r
sigmar	s ɪ ɣ m a r
sigmarsdóttir	s ɪ ɣ m a r̥ s t ou h t ɪ r
sigmarsson	s ɪ ɣ m a r̥ s ɔ n
sigmund	s ɪ ɣ m ʏ n t
sigmundar	s ɪ ɣ m ʏ n t a r
sigmundi	s ɪ ɣ m ʏ n t ɪ
sigmundsdóttir	s ɪ ɣ m ʏ n t s t ou h t ɪ r
sigmundsson	s ɪ ɣ m ʏ n t s ɔ n
sigmundur	s ɪ ɣ m ʏ n t ʏ r
sign	s aiː n
signal	s ɪ k n a l
signed	s aiː n t
signs	s aiː n s
signý	s ɪ k n i
sigra	s ɪ ɣ r a
sigrar	s ɪ ɣ r a r
sigrast	s ɪ ɣ r a s t
sigrað	s ɪ ɣ r a ð
sigraði	s ɪ ɣ r a ð ɪ
sigri	s ɪ ɣ r ɪ
sigrinum	s ɪ ɣ r ɪ n ʏ m
sigrum	s ɪ ɣ r ʏ m
sigruðu	s ɪ ɣ r ʏ ð ʏ
sigríðar	s ɪ ɣ r i ð a r
sigríður	s ɪ ɣ r i ð ʏ r
sigrún	s ɪ ɣ r u n
sigrúnar	s ɪ ɣ r u n a r
sigrúnu	s ɪ ɣ r u n ʏ
sigtryggsson	s ɪ ɣ tʰ r ɪ k s ɔ n
sigtryggssonar	s ɪ ɣ tʰ r ɪ k s ɔ n a r
sigtryggur	s ɪ ɣ tʰ r ɪ k ʏ r
sigur	s ɪː ɣ ʏ r
sigurbergsdóttir	s ɪː ɣ ʏ r̥ p ɛ r k s t ou h t ɪ r
sigurbergsson	s ɪː ɣ ʏ r p ɛ r k s ɔ n
sigurbergur	s ɪː ɣ ʏ r̥ p ɛ r k ʏ r
sigurbjargar	s ɪː ɣ ʏ r p j a r k a r
sigurbjörg	s ɪː ɣ ʏ r̥ p j œ r k
sigurbjörgu	s ɪː ɣ ʏ r p j œ r k ʏ
sigurbjörn	s ɪː ɣ ʏ r̥ p j œ r t n̥
sigurbjörns	s ɪː ɣ ʏ r̥ p j œ r̥ s
sigurbjörnsdóttir	s ɪː ɣ ʏ r̥ p j œ r̥ s t ou h t ɪ r
sigurbjörnsson	s ɪː ɣ ʏ r̥ p j œ r̥ s ɔ n
sigurbjörnssyni	s ɪː ɣ ʏ r̥ p j œ r̥ s ɪ n ɪ
sigurborg	s ɪː ɣ ʏ r p ɔ r k
sigurbraut	s ɪː ɣ ʏ r p r œy t
sigurdís	s ɪː ɣ ʏ r̥ t i s
sigurgeir	s ɪː ɣ ʏ r̥ c ei r
sigurgeirsdóttir	s ɪː ɣ ʏ r c ei r̥ s t ou h t ɪ r
sigurgeirsson	s ɪː ɣ ʏ r c ei r̥ s ɔ n
sigurgestsson	s ɪː ɣ ʏ r̥ c ɛ s t s ɔ n
sigurgöngu	s ɪː ɣ ʏ r k œy ŋ k ʏ
sigurinn	s ɪː ɣ ʏ r ɪ n
sigurjón	s ɪː ɣ ʏ r j ou n
sigurjóni	s ɪː ɣ ʏ r j ou n ɪ
sigurjóns	s ɪː ɣ ʏ r j ou n s
sigurjónsdóttir	s ɪː ɣ ʏ r j ou n s t ou h t ɪ r
sigurjónsdóttur	s ɪː ɣ ʏ r j ou n s t ou h t ʏ r
sigurjónsson	s ɪː ɣ ʏ r j ou n s ɔ n
sigurjónssyni	s ɪː ɣ ʏ r j ou n s ɪ n ɪ
sigurlaug	s ɪː ɣ ʏ r l œy ɣ
sigurleik	s ɪː ɣ ʏ r l ei k
sigurliðið	s ɪː ɣ ʏ r l ɪ ð ɪ ð
sigurlín	s ɪː ɣ ʏ r l i n
sigurmannsson	s ɪː ɣ ʏ r m a n s ɔ n
sigurmark	s ɪː ɣ ʏ r m a r̥ k
sigurmarkið	s ɪː ɣ ʏ r m a r̥ c ɪ ð
sigurorð	s ɪː ɣ ʏ r ɔ r ð
sigurpáll	s ɪː ɣ ʏ r̥ pʰ au t l̥
sigurpálsson	s ɪː ɣ ʏ r̥ pʰ au l s ɔ n
sigurrós	s ɪː ɣ ʏ r ou s
sigurs	s ɪː ɣ ʏ r̥ s
sigursteinn	s ɪː ɣ ʏ r̥ s t ei t n̥
sigurvegara	s ɪː ɣ ʏ r v ɛ ɣ a r a
sigurvegarar	s ɪː ɣ ʏ r v ɛ ɣ a r a r
sigurvegari	s ɪː ɣ ʏ r v ɛ ɣ a r ɪ
sigurvegarinn	s ɪː ɣ ʏ r v ɛ ɣ a r ɪ n
sigurveig	s ɪː ɣ ʏ r v ei ɣ
sigurvin	s ɪː ɣ ʏ r v ɪ n
sigurvinsson	s ɪː ɣ ʏ r v ɪ n s ɔ n
sigurð	s ɪː ɣ ʏ r ð
sigurðar	s ɪː ɣ ʏ r ð a r
sigurðardóttir	s ɪː ɣ ʏ r ð a r̥ t ou h t ɪ r
sigurðardóttur	s ɪː ɣ ʏ r ð a r t ou h t ʏ r
sigurðarson	s ɪː ɣ ʏ r ð a r̥ s ɔ n
sigurði	s ɪː ɣ ʏ r ð ɪ
sigurðsson	s ɪː ɣ ʏ r ð s ɔ n
sigurðssonar	s ɪː ɣ ʏ r ð s ɔ n a r
sigurðssyni	s ɪː ɣ ʏ r ð s ɪ n ɪ
sigurður	s ɪː ɣ ʏ r ð ʏ r
sigurþór	s ɪː ɣ ʏ r̥ θ ou r
sigvalda	s ɪ ɣ v a l t a
sigvaldason	s ɪ ɣ v a l t a s ɔ n
sigvaldi	s ɪ ɣ v a l t ɪ
sigþrúður	s ɪ x θ r u ð ʏ r
sigþór	s ɪ ɣ θ ou r
sigþórsson	s ɪ x θ ou r̥ s ɔ n
sikiley	s ɪː c ɪ l ei
silence	s aiː l ɛ n s
silent	s aiː l ɛ n̥ t
silfri	s ɪ l v r ɪ
silfruðum	s ɪ l v r ʏ ð ʏ m
silfur	s ɪ l v ʏ r
silfurdoppótt	s ɪ l v ʏ r t ɔ h p ou h t
silfurfati	s ɪ l v ʏ r̥ f a t ɪ
silfurskeiðina	s ɪ l v ʏ r̥ s c ei ð ɪ n a
silfurverðlaun	s ɪ l v ʏ r v ɛ r ð l œy n
silja	s ɪ l j a
silju	s ɪ l j ʏ
silk	s ɪ l̥ k
silkeborg	s ɪ l̥ c ɛ p ɔ r k
silki	s ɪ l̥ c ɪ
silkimálun	s ɪ l̥ c ɪ m au l ʏ n
silkislaufur	s ɪ l̥ c ɪ s t l œy f ʏ r
silla	s ɪ l a
sillu	s ɪ t l ʏ
silung	s ɪː l u ŋ k
silungana	s ɪː l u ŋ k a n a
silungar	s ɪː l u ŋ k a r
silungi	s ɪː l u ɲ c ɪ
silunginn	s ɪː l u ɲ c ɪ n
silungsveiði	s ɪː l u ŋ s v ei ð ɪ
silungsveiðivon	s ɪː l u ŋ s v ei ð ɪ v ɔ n
silungur	s ɪː l u ŋ k ʏ r
silva	s ɪ l v a
silver	s ɪ l v ɛ r
silverstone	s ɪ l v ɛ r s t ou n
silvio	s ɪ l v i j ou
silvía	s ɪ l v i j a
silúngsveiðivon	s ɪː l u ŋ s v ei ð ɪ v ɔ n
simbabve	s ɪ m p a p v ɛ
similar	s ɪ m ɪ l a r
simon	s ai m ɔ n
simple	s ɪ m̥ p u l
simply	s ɪ m̥ p l i
simpson	s ɪ m s ɔ n
sin	s ɪː n
sina	s ɪː n a
since	s ɪ n s
sindra	s ɪ n t r a
sindri	s ɪ n t r ɪ
sinfóníuhljómsveit	s ɪ n f ou n i j ʏ l̥ j ou m s v ei t
sinfóníuhljómsveitar	s ɪ n f ou n i j ʏ l̥ j ou m s v ei t a r
sing	s i ŋ
singapore	s i ŋ a pʰ u r
singapúr	s i ŋ a pʰ u r
singer	s i ŋ ɛ r
singh	s i ŋ
singing	s i ŋ i ŋ
single	s i ŋ k u l
sinisa	s ɪː n ɪ s a
sink	s i ŋ̊ k
sinn	s ɪ n
sinna	s ɪ n a
sinnar	s ɪ n a r
sinnaskipti	s ɪ n a s c ɪ f t ɪ
sinni	s ɪ n ɪ
sinnir	s ɪ n ɪ r
sinnis	s ɪ n ɪ s
sinnt	s ɪ n̥ t
sinnti	s ɪ n̥ t ɪ
sinnum	s ɪ n ʏ m
sinu	s ɪː n ʏ
sinum	s ɪː n ʏ m
sippa	s ɪ h p a
sir	s œː r
sirka	s ɪ r̥ k a
sirkus	s ɪ r̥ k ʏ s
sirrý	s ɪ r i
sissoko	s ɪ s ɔ k ɔ
sister	s ɪ s t ɛ r
sisters	s ɪ s t ɛ r̥ s
sit	s ɪː t
site	s aiː t
sites	s aiː t s
sitja	s ɪː t j a
sitjandi	s ɪː t j a n t ɪ
sitji	s ɪː t j ɪ
sitjið	s ɪː t j ɪ ð
sitjum	s ɪː t j ʏ m
sitkagreni	s ɪ t k a k r ɛ n ɪ
sitt	s ɪ h t
sitthvað	s ɪ h t kʰ v a ð
situr	s ɪː t ʏ r
siv	s ɪː v
six	s ɪ k s
size	s aiː s
sið	s ɪː ð
siðanefnd	s ɪː ð a n ɛ m t
siðanefndar	s ɪː ð a n ɛ m t a r
siðareglum	s ɪː ð a r ɛ k l ʏ m
siðareglur	s ɪː ð a r ɛ k l ʏ r
siðferði	s ɪ ð f ɛ r ð ɪ
siðferðileg	s ɪ ð f ɛ r ð ɪ l ɛ ɣ
siðferðilega	s ɪ ð f ɛ r ð ɪ l ɛ ɣ a
siðferðilegur	s ɪ ð f ɛ r ð ɪ l ɛ ɣ ʏ r
siðferðislega	s ɪ ð f ɛ r ð ɪ s t l ɛ ɣ a
siðfræði	s ɪ ð f r ai ð ɪ
siði	s ɪː ð ɪ
siðspillta	s ɪ ð s p ɪ l̥ t a
siðspilltum	s ɪ ð s p ɪ l̥ t ʏ m
siðum	s ɪː ð ʏ m
siður	s ɪː ð ʏ r
sjakketum	s j a h c ɛ t ʏ m
sjaldan	s j a l t a n
sjaldgæf	s j a l t c ai v
sjaldgæft	s j a l t c ai f t
sjaldgæfur	s j a l t c ai v ʏ r
sjaldnar	s j a l t n a r
sjaldnast	s j a l t n a s t
sjalli	s j a l ɪ
sjampó	s j a m̥ p ou
sjampói	s j a m̥ p ou ɪ
sjanghæ	s j a ŋ h ai
sjanghæja	s j a ŋ h ai j a
sjanghæjaði	s j a ŋ h ai j a ð ɪ
sjanghæjaður	s j a ŋ h ai j a ð ʏ r
sjanghæjuðu	s j a ŋ h ai j ʏ ð ʏ
sjarmerandi	s j a r m ɛ r a n t ɪ
sje	s j ɛː
sjer	s j ɛː r
sjokk	s j ɔ h k
sjokki	s j ɔ h c ɪ
sjoppu	s j ɔ h p ʏ
sjoppuna	s j ɔ h p ʏ n a
sjoppunni	s j ɔ h p ʏ n ɪ
sjá	s j auː
sjáanleg	s j auː a n l ɛ ɣ
sjáanlegur	s j auː a n l ɛ ɣ ʏ r
sjái	s j auː ɪ
sjáist	s j auː ɪ s t
sjáið	s j auː ɪ ð
sjáland	s j auː l a n t
sjálandi	s j auː l a n t ɪ
sjálf	s j au l v
sjálfa	s j au l v a
sjálfan	s j au l v a n
sjálfar	s j au l v a r
sjálfboðaliða	s j au l v p ɔ ð a l ɪ ð a
sjálfboðaliðar	s j au l v p ɔ ð a l ɪ ð a r
sjálfboðaliði	s j au l v p ɔ ð a l ɪ ð ɪ
sjálfboðaliðum	s j au l v p ɔ ð a l ɪ ð ʏ m
sjálfboðavinnu	s j au l v p ɔ ð a v ɪ n ʏ
sjálfbær	s j au l v p ai r
sjálfbæra	s j au l v p ai r a
sjálfbæran	s j au l v p ai r a n
sjálfbærar	s j au l v p ai r a r
sjálfbærni	s j au l v p ai r t n ɪ
sjálfbærrar	s j au l v p ai r a r
sjálfbærri	s j au l v p ai r ɪ
sjálfbært	s j au l v p ai r̥ t
sjálfbærum	s j au l v p ai r ʏ m
sjálfgefið	s j au l v c ɛ v ɪ ð
sjálfheldu	s j au l f h ɛ l t ʏ
sjálfir	s j au l v ɪ r
sjálfkrafa	s j au l v kʰ r a v a
sjálfnefndri	s j au l v n ɛ m t r ɪ
sjálfra	s j au l v r a
sjálfrar	s j au l v r a r
sjálfri	s j au l v r ɪ
sjálfrátt	s j au l v r au h t
sjálfráða	s j au l v r au ð a
sjálfráður	s j au l v r au ð ʏ r
sjálfræði	s j au l v r ai ð ɪ
sjálfs	s j au l f s
sjálfsafgreiðslustöðvum	s j au l f s a v k r ei ð s t l ʏ s t œ ð v ʏ m
sjálfsafneitun	s j au l f s a v n ei t ʏ n
sjálfsagt	s j au l f s a x t
sjálfsagða	s j au l f s a ɣ ð a
sjálfsagðara	s j au l f s a ɣ ð a r a
sjálfsagður	s j au l f s a ɣ ð ʏ r
sjálfsalakaffi	s j au l f s a l a kʰ a f ɪ
sjálfsbjargar	s j au l f s p j a r k a r
sjálfsbjargarhúsinu	s j au l f s p j a r k a r̥ h u s ɪ n ʏ
sjálfsbjargarviðleitnin	s j au l f s p j a r k a r v ɪ ð l ei h t n ɪ n
sjálfsbjörg	s j au l f s p j œ r k
sjálfsdáðum	s j au l f s t au ð ʏ m
sjálfseignarstofnun	s j au l f s ei k n a r̥ s t ɔ p n ʏ n
sjálfsfróun	s j au l f s f r ou ʏ n
sjálfsgagnrýni	s j au l f s k a k r i n ɪ
sjálfshjálp	s j au l f s ç au l̥ p
sjálfshjálparhópur	s j au l f s ç au l̥ p a r̥ h ou p ʏ r
sjálfshjálpin	s j au l f s ç au l̥ p ɪ n
sjálfskaparvíti	s j au l f s k a p a r v i t ɪ
sjálfskipaðra	s j au l f s c ɪ p a ð r a
sjálfskipt	s j au l f s c ɪ f t
sjálfskiptan	s j au l f s c ɪ f t a n
sjálfskiptingin	s j au l f s c ɪ f t i ɲ c ɪ n
sjálfskiptingu	s j au l f s c ɪ f t i ŋ k ʏ
sjálfskiptur	s j au l f s c ɪ f t ʏ r
sjálfskipuð	s j au l f s c ɪ p ʏ ð
sjálfskuldarábyrgð	s j au l f s k ʏ l t a r au p ɪ r ð
sjálfsmark	s j au l f s m a r̥ k
sjálfsmat	s j au l f s m a t
sjálfsmorð	s j au l f s m ɔ r ð
sjálfsmorðsárásir	s j au l f s m ɔ r ð s au r au s ɪ r
sjálfsmynd	s j au l f s m ɪ n t
sjálfsmyndinni	s j au l f s m ɪ n t ɪ n ɪ
sjálfsstjórn	s j au l f s t j ou r t n̥
sjálfsstjórnar	s j au l f s t j ou r t n a r
sjálfsstolt	s j au l f s t ɔ l̥ t
sjálfstjórn	s j au l f s t j ou r t n̥
sjálfstraust	s j au l f s tʰ r œy s t
sjálfstrausti	s j au l f s tʰ r œy s t ɪ
sjálfstraustið	s j au l f s tʰ r œy s t ɪ ð
sjálfstrausts	s j au l f s tʰ r œy s t s
sjálfstætt	s j au l f s t ai h t
sjálfstæð	s j au l f s t ai ð
sjálfstæða	s j au l f s t ai ð a
sjálfstæðan	s j au l f s t ai ð a n
sjálfstæðar	s j au l f s t ai ð a r
sjálfstæði	s j au l f s t ai ð ɪ
sjálfstæðir	s j au l f s t ai ð ɪ r
sjálfstæðis	s j au l f s t ai ð ɪ s
sjálfstæðisbaráttu	s j au l f s t ai ð ɪ s p a r au h t ʏ
sjálfstæðisbaráttunnar	s j au l f s t ai ð ɪ s p a r au h t ʏ n a r
sjálfstæðisflokki	s j au l f s t ai ð ɪ s f l ɔ h c ɪ
sjálfstæðisflokkinn	s j au l f s t ai ð ɪ s f l ɔ h c ɪ n
sjálfstæðisflokknum	s j au l f s t ai ð ɪ s f l ɔ h k n ʏ m
sjálfstæðisflokks	s j au l f s t ai ð ɪ s f l ɔ h k s
sjálfstæðisflokksins	s j au l f s t ai ð ɪ s f l ɔ h k s ɪ n s
sjálfstæðisflokkur	s j au l f s t ai ð ɪ s f l ɔ h k ʏ r
sjálfstæðisflokkurinn	s j au l f s t ai ð ɪ s f l ɔ h k ʏ r ɪ n
sjálfstæðisfélaganna	s j au l f s t ai ð ɪ s f j ɛ l a ɣ a n a
sjálfstæðismanna	s j au l f s t ai ð ɪ s m a n a
sjálfstæðismaður	s j au l f s t ai ð ɪ s m a ð ʏ r
sjálfstæðismönnum	s j au l f s t ai ð ɪ s m œ n ʏ m
sjálfstæðra	s j au l f s t ai ð r a
sjálfstæðrar	s j au l f s t ai ð r a r
sjálfstæðri	s j au l f s t ai ð r ɪ
sjálfstæðs	s j au l f s t ai ð s
sjálfstæðu	s j au l f s t ai ð ʏ
sjálfstæðum	s j au l f s t ai ð ʏ m
sjálfstæður	s j au l f s t ai ð ʏ r
sjálfsvald	s j au l f s v a l t
sjálfsvirðingu	s j au l f s v ɪ r ð i ŋ k ʏ
sjálfsvitund	s j au l f s v ɪ t ʏ n t
sjálfsvorkunn	s j au l f s v ɔ r̥ k ʏ n
sjálfsvíg	s j au l f s v i ɣ
sjálfsímynd	s j au l f s i m ɪ n t
sjálfsögð	s j au l f s œ ɣ ð
sjálfsögðu	s j au l f s œ ɣ ð ʏ
sjálfsögðum	s j au l f s œ ɣ ð ʏ m
sjálfsöryggi	s j au l f s œ r ɪ c ɪ
sjálft	s j au l̥ t
sjálftrekkjandi	s j au l v tʰ r ɛ h c a n t ɪ
sjálfu	s j au l v ʏ
sjálfum	s j au l v ʏ m
sjálfur	s j au l v ʏ r
sjálfvirk	s j au l v ɪ r̥ k
sjálfvirka	s j au l v ɪ r̥ k a
sjálfvirkni	s j au l v ɪ r̥ k n ɪ
sjálfvirkt	s j au l v ɪ r̥ t
sjálfvirkum	s j au l v ɪ r̥ k ʏ m
sjálfvirkur	s j au l v ɪ r̥ k ʏ r
sjást	s j au s t
sjáum	s j auː ʏ m
sjáumst	s j auː ʏ m s t
sjávar	s j auː v a r
sjávarafla	s j auː v a r a p l a
sjávarafurð	s j auː v a r a v ʏ r ð
sjávarafurða	s j auː v a r a v ʏ r ð a
sjávarafurðir	s j auː v a r a v ʏ r ð ɪ r
sjávarafurðum	s j auː v a r a v ʏ r ð ʏ m
sjávarfangs	s j auː v a r̥ f au ŋ s
sjávarmál	s j auː v a r m au l
sjávarmáli	s j auː v a r m au l ɪ
sjávarplássa	s j auː v a r̥ pʰ l au s a
sjávarsíðuna	s j auː v a r̥ s i ð ʏ n a
sjávarútveg	s j auː v a r u t v ɛ ɣ
sjávarútvegi	s j auː v a r u t v ei j ɪ
sjávarútveginn	s j auː v a r u t v ei j ɪ n
sjávarútveginum	s j auː v a r u t v ei j ɪ n ʏ m
sjávarútvegs	s j auː v a r u t v ɛ x s
sjávarútvegsfyrirtæki	s j auː v a r u t v ɛ x s f ɪ r ɪ r̥ tʰ ai c ɪ
sjávarútvegsfyrirtækja	s j auː v a r u t v ɛ x s f ɪ r ɪ r̥ tʰ ai c a
sjávarútvegsfyrirtækjum	s j auː v a r u t v ɛ x s f ɪ r ɪ r̥ tʰ ai c ʏ m
sjávarútvegsins	s j auː v a r u t v ɛ x s ɪ n s
sjávarútvegsmál	s j auː v a r u t v ɛ x s m au l
sjávarútvegsmálum	s j auː v a r u t v ɛ x s m au l ʏ m
sjávarútvegsnefndar	s j auː v a r u t v ɛ x s n ɛ m t a r
sjávarútvegsráðherra	s j auː v a r u t v ɛ x s r au θ h ɛ r a
sjávarútvegsráðuneytinu	s j auː v a r u t v ɛ x s r au ð ʏ n ei t ɪ n ʏ
sjávarútvegsráðuneytið	s j auː v a r u t v ɛ x s r au ð ʏ n ei t ɪ ð
sjávarútvegsstefnu	s j auː v a r u t v ɛ x s t ɛ p n ʏ
sjávarútvegur	s j auː v a r u t v ɛ ɣ ʏ r
sjávarútvegurinn	s j auː v a r u t v ɛ ɣ ʏ r ɪ n
sjávarþorpi	s j auː v a r̥ θ ɔ r̥ p ɪ
sjáðu	s j auː ð ʏ
sjíta	s j iː t a
sjó	s j ouː
sjógalla	s j ouː k a l a
sjógallana	s j ouː k a l a n a
sjógallann	s j ouː k a l a n
sjógallanna	s j ouː k a l a n a
sjógallans	s j ouː k a l a n s
sjógallanum	s j ouː k a l a n ʏ m
sjógallar	s j ouː k a l a r
sjógallarnir	s j ouː k a l a r t n ɪ r
sjógalli	s j ouː k a l ɪ
sjógallinn	s j ouː k a l ɪ n
sjógöllum	s j ouː k œ l ʏ m
sjógöllunum	s j ouː k œ l ɔ n ʏ m
sjóher	s j ouː h ɛ r
sjóinn	s j ouː ɪ n
sjókvíaeldi	s j ouː kʰ v i j a ɛ l t ɪ
sjókvíum	s j ouː kʰ v i j ʏ m
sjómanna	s j ouː m a n a
sjómannadaginn	s j ouː m a n a t ai j ɪ n
sjómannafélags	s j ouː m a n a f j ɛ l a x s
sjómannalaga	s j ouː m a n a l a ɣ a
sjómannasambands	s j ouː m a n a s a m p a n t s
sjómaður	s j ouː m a ð ʏ r
sjómenn	s j ouː m ɛ n
sjómennirnir	s j ouː m ɛ n ɪ r t n ɪ r
sjómennsku	s j ouː m ɛ n s k ʏ
sjómílna	s j ouː m i l n a
sjómílur	s j ouː m i l ʏ r
sjómönnum	s j ouː m œ n ʏ m
sjón	s j ouː n
sjónar	s j ouː n a r
sjónarhorn	s j ouː n a r̥ h ɔ r t n̥
sjónarhorni	s j ouː n a r̥ h ɔ r t n ɪ
sjónarhornum	s j ouː n a r̥ h ɔ r t n ʏ m
sjónarhóli	s j ouː n a r̥ h ou l ɪ
sjónarhóll	s j ouː n a r̥ h ou t l̥
sjónarmið	s j ouː n a r m ɪ ð
sjónarmiða	s j ouː n a r m ɪ ð a
sjónarmiði	s j ouː n a r m ɪ ð ɪ
sjónarmiðum	s j ouː n a r m ɪ ð ʏ m
sjónarrönd	s j ouː n a r œ n t
sjónarspil	s j ouː n a r̥ s p ɪ l
sjónarsviptir	s j ouː n a r̥ s v ɪ f t ɪ r
sjónarsviðið	s j ouː n a r̥ s v ɪ ð ɪ ð
sjónarvottar	s j ouː n a r v ɔ h t a r
sjóndeildarhringinn	s j ou n t ei l t a r̥ i ɲ c ɪ n
sjóndeildarhringnum	s j ou n t ei l t a r̥ i ŋ n ʏ m
sjónir	s j ouː n ɪ r
sjónlagi	s j ou n l ai j ɪ
sjónmáli	s j ou n m au l ɪ
sjónskertur	s j ou n s c ɛ r̥ t ʏ r
sjónum	s j ouː n ʏ m
sjónvarp	s j ou n v a r̥ p
sjónvarpað	s j ou n v a r̥ p a ð
sjónvarpi	s j ou n v a r̥ p ɪ
sjónvarpinu	s j ou n v a r̥ p ɪ n ʏ
sjónvarpið	s j ou n v a r̥ p ɪ ð
sjónvarps	s j ou n v a r̥ p s
sjónvarpsauglýsinga	s j ou n v a r̥ p s œy ɣ l i s i ŋ k a
sjónvarpsauglýsingar	s j ou n v a r̥ p s œy ɣ l i s i ŋ k a r
sjónvarpsefni	s j ou n v a r̥ p s ɛ p n ɪ
sjónvarpsefnis	s j ou n v a r̥ p s ɛ p n ɪ s
sjónvarpsfréttir	s j ou n v a r̥ p s f r j ɛ h t ɪ r
sjónvarpsfréttum	s j ou n v a r̥ p s f r j ɛ h t ʏ m
sjónvarpshol	s j ou n v a r̥ p s h ɔ l
sjónvarpsins	s j ou n v a r̥ p s ɪ n s
sjónvarpskokkurinn	s j ou n v a r̥ p s kʰ ɔ h k ʏ r ɪ n
sjónvarpskort	s j ou n v a r̥ p s kʰ ɔ r̥ t
sjónvarpskvöld	s j ou n v a r̥ p s kʰ v œ l t
sjónvarpsleikrit	s j ou n v a r̥ p s t l ei k r ɪ t
sjónvarpsmaður	s j ou n v a r̥ p s m a ð ʏ r
sjónvarpsmynd	s j ou n v a r̥ p s m ɪ n t
sjónvarpsmálið	s j ou n v a r̥ p s m au l ɪ ð
sjónvarpssendingar	s j ou n v a r̥ p s ɛ n t i ŋ k a r
sjónvarpssjúklingur	s j ou n v a r̥ p s j u h k l i ŋ k ʏ r
sjónvarpsskjáinn	s j ou n v a r̥ p s c au ɪ n
sjónvarpsskjáir	s j ou n v a r̥ p s c au ɪ r
sjónvarpsskjánum	s j ou n v a r̥ p s c au n ʏ m
sjónvarpsstöð	s j ou n v a r̥ p s t œ ð
sjónvarpsstöðin	s j ou n v a r̥ p s t œ ð ɪ n
sjónvarpsstöðina	s j ou n v a r̥ p s t œ ð ɪ n a
sjónvarpsstöðva	s j ou n v a r̥ p s t œ ð v a
sjónvarpsstöðvanna	s j ou n v a r̥ p s t œ ð v a n a
sjónvarpsstöðvar	s j ou n v a r̥ p s t œ ð v a r
sjónvarpsstöðvarinnar	s j ou n v a r̥ p s t œ ð v a r ɪ n a r
sjónvarpsstöðvarnar	s j ou n v a r̥ p s t œ ð v a r t n a r
sjónvarpstæki	s j ou n v a r̥ p s tʰ ai c ɪ
sjónvarpstækinu	s j ou n v a r̥ p s tʰ ai c ɪ n ʏ
sjónvarpstækið	s j ou n v a r̥ p s tʰ ai c ɪ ð
sjónvarpstöðina	s j ou n v a r̥ p s t œ ð ɪ n a
sjónvarpsviðtali	s j ou n v a r̥ p s v ɪ ð tʰ a l ɪ
sjónvarpsþátta	s j ou n v a r̥ p s θ au h t a
sjónvarpsþáttum	s j ou n v a r̥ p s θ au h t ʏ m
sjónvarpsþáttunum	s j ou n v a r̥ p s θ au h t ʏ n ʏ m
sjónvarpsþáttur	s j ou n v a r̥ p s θ au h t ʏ r
sjónvarpsþætti	s j ou n v a r̥ p s θ ai h t ɪ
sjónvarpsþættinum	s j ou n v a r̥ p s θ ai h t ɪ n ʏ m
sjór	s j ouː r
sjórinn	s j ouː r ɪ n
sjós	s j ouː s
sjóslysa	s j ouː s t l ɪ s a
sjósókn	s j ouː s ou h k n̥
sjóveiki	s j ouː v ei c ɪ
